"","name","label"
"473","s4mlen","s4mlen:w4 s length of longest marriage"
"474","s5mlen","s5mlen:w5 s length of longest marriage"
"475","s6mlen","s6mlen:w6 s length of longest marriage"
"476","rabplace","rabplace: r place of birth"
"477","s1bplace","s1bplace: s place of birth"
"478","s2bplace","s2bplace: s place of birth"
"479","s3bplace","s3bplace: s place of birth"
"480","s4bplace","s4bplace: s place of birth"
"481","s5bplace","s5bplace: s place of birth"
"482","s6bplace","s6bplace: s place of birth"
"483","rarelig.e","rarelig_e:r religion"
"484","s5relig.e","s5relig_e:w5 s religion"
"485","r1momliv","r1momliv:w1 mother alive"
"486","r2momliv","r2momliv:w2 mother alive"
"487","r3momliv","r3momliv:w3 mother alive"
"488","r4momliv","r4momliv:w4 mother alive"
"489","r5momliv","r5momliv:w5 mother alive"
"490","r6momliv","r6momliv:w6 mother alive"
"491","s1momliv","s1momliv:w1 mother alive"
"492","s2momliv","s2momliv:w2 mother alive"
"493","s3momliv","s3momliv:w3 mother alive"
"494","s4momliv","s4momliv:w4 mother alive"
"495","s5momliv","s5momliv:w5 mother alive"
"496","s6momliv","s6momliv:w6 mother alive"
"497","r1dadliv","r1dadliv:w1 father alive"
"498","r2dadliv","r2dadliv:w2 father alive"
"499","r3dadliv","r3dadliv:w3 father alive"
"500","r4dadliv","r4dadliv:w4 father alive"
"501","r5dadliv","r5dadliv:w5 father alive"
"502","r6dadliv","r6dadliv:w6 father alive"
"503","s1dadliv","s1dadliv:w1 father alive"
"504","s2dadliv","s2dadliv:w2 father alive"
"505","s3dadliv","s3dadliv:w3 father alive"
"506","s4dadliv","s4dadliv:w4 father alive"
"507","s5dadliv","s5dadliv:w5 father alive"
"508","s6dadliv","s6dadliv:w6 father alive"
"509","r1momage","r1momage:w1 mother age current/at death"
"510","r2momage","r2momage:w2 mother age current/at death"
